scenario,year,mean,low,high
ssp585,2040,289.1553063854364,288.8261548208903,289.7315491466174
ssp585,2041,289.1596191850951,288.8555050281586,289.57386442727034
ssp585,2042,289.073967715127,288.8744013645264,289.40224194863623
ssp585,2043,289.1939305719431,288.9136546239111,289.6207959315559
ssp585,2044,289.36778166152016,289.1062543942467,289.83370482610866
ssp585,2045,289.3644784221436,289.0866967567941,289.9014457151557
ssp585,2046,289.479490421731,289.0950860234049,289.97259572820934
ssp585,2047,289.46294686856396,289.1760764440982,289.84579496015175
ssp585,2048,289.5336543865373,289.3309761727873,289.93348964695036
ssp585,2049,289.6648907204667,289.43316897031053,290.09460992017415
ssp585,2050,289.6616276181871,289.29636121066534,290.0299470794926
ssp585,2051,289.6335770424926,289.44634805547383,289.94693146411913
ssp585,2052,289.7407489443129,289.3925551591077,290.2301844853868
ssp585,2053,289.92676110414385,289.5862508655555,290.3197338503244
ssp585,2054,290.0799614618206,289.80039650707283,290.3976702183411
ssp585,2055,289.9962740720567,289.61141708829547,290.38078019691017
ssp585,2056,289.95933929596634,289.53621679077014,290.3757814967801
ssp585,2057,290.1164684163161,289.7044688289751,290.49491926694947
ssp585,2058,290.18931604032804,290.02316540089356,290.4928568829321
ssp585,2059,290.16316696834576,289.9032981036809,290.4878944730496
ssp585,2060,290.23275096420144,289.89660481800996,290.5918677557549
ssp585,2061,290.32982544134126,290.000957964417,290.6770875228705
ssp585,2062,290.4798810979682,290.21924985246824,290.84465766357977
ssp585,2063,290.44195232206397,290.1832381524548,290.73771607022314
ssp585,2064,290.46910145348573,289.92491183678044,290.94692375495805
ssp585,2065,290.50902736727966,290.019572680895,291.03434508805293
ssp585,2066,290.6224253559796,290.34316726104885,290.83153097727285
ssp585,2067,290.59667274945923,290.1894492594122,290.8183450874839
ssp585,2068,290.61007560061427,290.22286902922787,290.8037506910469
ssp585,2069,290.70275961805413,290.24705508047924,291.0044513072375
ssp585,2070,290.77978182752855,290.26535371888235,291.1349020607104
ssp585,2071,290.9058052883118,290.4478792981608,291.2064541781977
ssp585,2072,290.84529406231644,290.34840795123,291.301840523454
ssp585,2073,290.9168220142522,290.56183191259294,291.30491112104403
ssp585,2074,291.00810754086666,290.54059686898205,291.28572435549614
ssp585,2075,291.0726571020847,290.49668850776146,291.4529762160774
ssp585,2076,291.1318646265186,290.59758179844556,291.5621343189382
ssp585,2077,291.2070934084955,290.7819648220164,291.4917497895821
ssp585,2078,291.371318223307,290.89636588019016,291.8181874855216
ssp585,2079,291.39126209872734,290.995390718888,291.7527739031249
ssp585,2080,291.5239863751076,291.07049354022337,291.81531828159393
ssp585,2081,291.6117004727253,291.08813488937534,291.8743596946992
ssp585,2082,291.6218644551022,291.0580082434442,292.0015528041062
ssp585,2083,291.7322996559971,291.209239647682,292.01882662929205
ssp585,2084,291.78417409675825,291.21976904525656,292.0876631781774
ssp585,2085,291.7767435726906,291.19665654921397,292.1708129279065
ssp585,2086,291.85096295713805,291.4143162761893,292.11152109851554
ssp585,2087,291.8023332238175,291.2226075007548,292.2061445905955
ssp585,2088,291.89377760100024,291.29113071318744,292.30622371520013
ssp585,2089,292.04670908832395,291.5386550165706,292.36441290721217
ssp585,2090,292.16797362513904,291.91803709864365,292.4678950913933
ssp585,2091,292.0789051675102,291.4979425030954,292.39933734550533
ssp585,2092,292.1879817650399,291.5906755577339,292.5532894255601
ssp585,2093,292.3214935785042,291.75616222805564,292.6607487824327
ssp585,2094,292.22661671374277,291.72440215351895,292.5180670623467
ssp585,2095,292.3721544710748,291.77180893351016,292.8204209654843
ssp585,2096,292.4627762423676,291.82263454291905,292.88617627721356
ssp585,2097,292.4885597201837,291.9478407961568,292.9736605048533
ssp585,2098,292.5323395749249,291.9235249578349,293.03175686807805
ssp585,2099,292.60369926519695,292.07683992617484,293.01211222448154
ssp585,2100,292.7248078247703,292.08138126708786,293.26702347134454
